name,date,pop,n_leq5,total_cases,zips,cases_lag,totalcases_last,totalcases_last_max,rate_last,rate_last_max,rate_last_ci_upper,rate_last_ci_lower,school_opening_status
Mesabi East School District,2020-08-20,32207,4,102,"55705, 55708, 55724, 55732, 55734, 55741, 55750, 55763, 55803",66,36,52,11.177694290061167,16.14555841897724,20.5339711863318,7.526314155307853,Elem In-Person / HS Hybrid
Milaca Public School District,2020-08-20,40504,4,165,"55371, 56313, 56329, 56330, 56338, 56353, 56357, 56358, 56359, 56363",142,23,39,5.678451510961881,9.62867864902232,12.650650818897113,3.3577350914248147,All In-Person
Milroy Public School District,2020-08-20,19410,3,376,"56175, 56180, 56255, 56258, 56263, 56292",362,14,26,7.2127769191138595,13.395157135497167,18.544089771582613,3.434493313716164,All In-Person
Minneapolis Public School District,2020-08-20,483120,1,11228,"55401, 55402, 55403, 55404, 55405, 55406, 55407, 55408, 55409, 55410, 55411, 55412, 55413, 55414, 55415, 55416, 55417, 55418, 55419, 55421, 55422, 55423, 55430, 55450, 55454, 55455",9968,1260,1264,26.080476900149034,26.16327206491141,27.605635126505923,24.64039786700506,All Hybrid
Minneota-Ivanhoe Public School Districts in Ivanhoe (7-12),2020-08-20,8670,5,48,"56113, 56136, 56142, 56149, 56220, 56264, 56280, 56291",43,5,25,5.767012687427912,28.835063437139564,40.13840830449827,0.7120031881204296,All In-Person
Minneota Public School District,2020-08-20,22210,2,424,"56142, 56157, 56223, 56229, 56239, 56258, 56264, 56280, 56291",408,16,24,7.203962179198559,10.805943268797838,15.12922097780732,3.674020711391265,All In-Person
Minnetonka Public School District,2020-08-20,134420,0,1405,"55317, 55318, 55331, 55345, 55346, 55364, 55391",1229,176,176,13.093289689034371,13.093289689034371,15.027699624786962,11.158879753281779,Elem In-Person / HS Hybrid
Minnewaska School District,2020-08-20,40290,2,209,"56215, 56244, 56308, 56316, 56327, 56334, 56349, 56381, 56385",183,26,34,6.453214197071233,8.438818565400844,11.275419636112384,3.9726785190762333,All In-Person
Minto Public School District 20,2020-08-20,490,1,2,56744,2,0,4,0,81.6326530612245,161.6326530612245,0,All In-Person
Montevideo Public School District,2020-08-20,12850,1,125,"56218, 56223, 56241, 56265, 56295",101,24,28,18.677042801556418,21.78988326848249,29.860968980056963,11.20466942279373,Elem In-Person / HS Hybrid
Monticello Public School District,2020-08-20,136950,0,1119,"55301, 55309, 55313, 55320, 55330, 55358, 55362, 55376",920,199,199,14.530850675428988,14.530850675428988,16.54977747500147,12.511923875856507,Elem In-Person / HS Hybrid
Moorhead Public School District,2020-08-20,44310,2,750,"56529, 56536, 56546, 56547, 56560, 56580",711,39,47,8.801624915368992,10.607086436470322,13.63960347930175,6.039224536930521,All In-Person
Moose Lake Public School District,2020-08-20,9610,3,82,"55707, 55749, 55756, 55757, 55767, 55783",79,3,15,3.1217481789802286,15.608740894901144,23.50785365095373,0,All In-Person
Mora Public School District,2020-08-20,23950,4,65,"55006, 55007, 55030, 55037, 55051, 56342, 56358",41,24,40,10.020876826722338,16.701461377870565,21.877297882196263,6.01169110993317,Elem In-Person / HS Hybrid
Morris Area Public Schools,2020-08-20,13970,5,52,"56221, 56235, 56244, 56248, 56267, 56323, 56327, 56343, 56381",42,10,30,7.158196134574087,21.47458840372226,29.159171171869186,2.7215002047745,All In-Person
Mounds View Public School District,2020-08-20,231110,0,3263,"55038, 55112, 55113, 55126, 55127, 55418, 55432, 55449",2785,478,478,20.68279174419108,20.68279174419108,22.53696913910207,18.828614349280087,All Hybrid
Mountain Iron-Buhl School District,2020-08-20,34763,2,48,"55703, 55710, 55713, 55734, 55746, 55751, 55758, 55768, 55792",34,14,22,4.027270373673158,6.32856773005782,8.973107870222341,1.9176571417665549,All In-Person
Mountain Lake Public Schools,2020-08-20,9750,2,214,"56101, 56118, 56120, 56159, 56160",204,10,18,10.256410256410257,18.46153846153846,26.990334099234662,3.8994213190461293,Elem In-Person / HS Hybrid
Murray County Central School District,2020-08-20,12750,4,186,"56114, 56115, 56122, 56123, 56128, 56131, 56132, 56141, 56151, 56155, 56172, 56183, 56186",168,18,34,14.11764705882353,26.666666666666664,35.63032605011513,7.595626865291139,Elem In-Person / HS Hybrid
Nashwauk-Keewatin School District,2020-08-20,25094,4,88,"55709, 55736, 55742, 55746, 55753, 55769, 55775, 55781, 55793",72,16,32,6.376026141707181,12.752052283414361,17.17041297880173,3.251773332270662,All In-Person
Nett Lake Public School District,2020-08-20,2968,1,13,"55771, 55772, 56639, 56653",8,5,9,16.846361185983827,30.32345013477089,50.13477088948787,2.0798745421172926,Elem In-Person / HS Hybrid
Nevis Public School District,2020-08-20,19420,2,36,"56433, 56461, 56464, 56467, 56470",25,11,19,5.664263645726056,9.783728115345005,14.183028799865975,2.3168977399090713,All In-Person
New London-Spicer School District,2020-08-20,36850,1,707,"56201, 56251, 56273, 56279, 56288, 56289, 56312",654,53,57,14.382632293080055,15.468113975576662,19.483765398407236,10.510443586705613,Elem In-Person / HS Hybrid
New Prague Area Schools,2020-08-20,155860,0,1558,"55020, 55044, 55046, 55054, 55057, 55088, 55352, 55372, 56011, 56057, 56069, 56071",1281,277,277,17.772359810085977,17.772359810085977,19.86532152413081,15.679398096041144,Elem In-Person / HS Hybrid
New Ulm Public School District,2020-08-20,35450,2,310,"55332, 55335, 56021, 56041, 56054, 56055, 56062, 56073, 56074, 56085",209,101,109,28.49083215796897,30.747531734837796,36.51988737869243,22.93434239283584,All Hybrid
New York Mills Public School District,2020-08-20,26780,3,59,"56464, 56482, 56518, 56527, 56544, 56567, 56571, 56573",46,13,25,4.854368932038835,9.335324869305452,12.994772218073187,2.2155039208702694,All In-Person
Nicollet Public School District,2020-08-20,47180,0,494,"56003, 56021, 56055, 56073, 56074, 56082",411,83,83,17.592200084781688,17.592200084781688,21.37694993961908,13.807450229944292,Elem In-Person / HS Hybrid
Norman County East School District,2020-08-20,8578,3,57,"56510, 56516, 56540, 56541, 56545, 56557, 56584",47,10,22,11.657729074376311,25.647003963627885,36.364204813772346,4.432193735217972,Elem In-Person / HS Hybrid
Norman County West School District,2020-08-20,3980,3,31,"56510, 56546, 56548, 56550, 56574, 56581",30,1,13,2.512562814070352,32.663316582914575,50.41929773846587,0,All In-Person
North Branch Public Schools,2020-08-20,41600,0,175,"55012, 55013, 55032, 55045, 55056, 55079, 55084",144,31,31,7.4519230769230775,7.4519230769230775,10.075196670948761,4.828649482897394,All In-Person
North Iowa Community School District,2020-08-20,680,0,10,56027,10,0,0,0,0,0,0,All In-Person
North Kossuth Community School District,2020-08-20,680,0,10,56027,10,0,0,0,0,0,0,All In-Person
North St. Paul-Maplewood-Oakdale School District,2020-08-20,250490,0,3923,"55042, 55106, 55109, 55110, 55115, 55119, 55125, 55128",3312,611,611,24.392191305042118,24.392191305042118,26.32632407719623,22.458058532888,All Hybrid
Northfield Public School District,2020-08-20,93150,3,1323,"55018, 55019, 55021, 55024, 55046, 55053, 55057, 55065, 55088",1200,123,135,13.20450885668277,14.492753623188406,16.93753538118085,10.870912340036236,Elem In-Person / HS Hybrid
Northland Community Schools,2020-08-20,17590,6,68,"55785, 56448, 56452, 56474, 56484, 56626, 56636, 56641, 56655, 56662, 56672",52,16,40,9.09607731665719,22.740193291642978,29.787452204582177,4.638999431495168,All In-Person
NRHEG School District,2020-08-20,51076,2,534,"55060, 55917, 56009, 56016, 56026, 56035, 56042, 56045, 56072, 56091, 56093",446,88,96,17.22922703422351,18.7955204009711,22.555407546287906,13.629409159192605,Elem In-Person / HS Hybrid
Ogilvie Public School District,2020-08-20,26140,2,94,"55006, 55017, 55051, 56353, 56358, 56359",69,25,33,9.563886763580719,12.62433052792655,16.931653705896913,5.814843152257077,All In-Person
Onamia Public School District,2020-08-20,39570,3,170,"56338, 56358, 56359, 56364, 56386, 56401, 56450",143,27,39,6.823351023502654,9.855951478392722,12.949253494278711,4.249568170708871,All In-Person
Orono Public School District,2020-08-20,66110,0,635,"55331, 55340, 55356, 55359, 55364, 55391",576,59,59,8.924519739827561,8.924519739827561,11.201791811499392,6.64724766815573,All In-Person
Ortonville Public Schools,2020-08-20,7080,2,22,"56212, 56221, 56225, 56227, 56256, 56257, 56276, 56278",14,8,16,11.299435028248588,22.598870056497177,33.672316384180796,3.469326038838231,Elem In-Person / HS Hybrid
Osakis Public School District,2020-08-20,43378,1,527,"56308, 56319, 56347, 56355, 56360, 56378, 56385, 56389",507,20,24,4.610632117663331,5.532758541195998,7.746322972868749,2.589933498132884,All In-Person
Osseo Public School District,2020-08-20,271870,0,5361,"55311, 55340, 55369, 55374, 55428, 55429, 55430, 55442, 55443, 55444, 55445, 55446",4760,601,601,22.10615367638945,22.10615367638945,23.873542157455933,20.338765195322964,All Hybrid
Owatonna Public School District,2020-08-20,49859,1,527,"55049, 55060, 55917, 55924, 55985, 56026, 56046, 56093",440,87,91,17.449206763071864,18.25146914298321,22.00148585967872,13.782534157513371,Elem In-Person / HS Hybrid
Park Rapids Public School District,2020-08-20,35750,2,140,"56458, 56461, 56464, 56467, 56470, 56501, 56570, 56575, 56678",120,20,28,5.594405594405594,7.832167832167832,10.733243395628866,3.1425492386575735,All In-Person
Park Rapids Public School District in Pine Point (9-12),2020-08-20,560,0,0,56575,0,0,0,0,0,0,0,All In-Person
Parkers Prairie Public School District,2020-08-20,11160,5,39,"56315, 56326, 56332, 56354, 56361, 56437, 56446, 56524, 56588",30,9,29,8.064516129032258,25.985663082437274,35.443479410379595,2.795698924731183,All In-Person
Paynesville Public School District,2020-08-20,24710,2,165,"55329, 56243, 56273, 56307, 56312, 56362, 56368, 56371, 56376",141,24,32,9.71266693646297,12.950222581950628,17.437245782681124,5.826790857260195,All In-Person
