zip,pop,cases,date,total_cases,n_leq5,cases_lag,totalcases_last,totalcases_last_max,rate_last,rate_last_max,rate_last_ci_upper,rate_last_ci_lower,current_rate,school_opening_status
56751,5580,149,2020-10-29,149,0,71,78,78,139.78494623655914,139.78494623655914,170.80690196774657,108.76299050537172,139.78494623655914,All Distance
56754,500,7,2020-10-29,7,0,2,5,5,100,100,187.65386471799175,12.346135282008248,100,All Distance
56755,92,0,2020-10-29,0,0,0,0,0,0,0,0,0,0,All In-Person
56756,740,10,2020-10-29,10,0,2,8,8,108.10810810810811,108.10810810810811,183.0232049257099,33.19301129050632,108.10810810810811,All Distance
56757,850,8,2020-10-29,8,0,2,6,6,70.58823529411765,70.58823529411765,127.07058701005917,14.105883578176137,70.58823529411765,All Distance
56758,340,6,2020-10-29,6,0,2,4,4,117.6470588235294,117.6470588235294,232.94117647058823,2.35294117647059,117.6470588235294,All Distance
56759,340,8,2020-10-29,8,0,7,1,1,29.41176470588235,29.41176470588235,87.05882352941175,0,29.41176470588235,All Hybrid
56760,330,2,2020-10-29,2,1,0,2,6,60.60606060606061,181.8181818181818,327.30302714712207,0,60.60606060606061,All Distance
56761,420,10,2020-10-29,10,0,2,8,8,190.47619047619048,190.47619047619048,322.46945629767936,58.482924654701606,190.47619047619048,All Distance
56762,2360,49,2020-10-29,49,0,31,18,18,76.27118644067797,76.27118644067797,111.50667689302458,41.03569598833137,76.27118644067797,All Distance
56763,4730,91,2020-10-29,91,0,50,41,41,86.68076109936575,86.68076109936575,113.21379176610651,60.14773043262498,86.68076109936575,All Distance
