ZIPCODE,CASES,DATE
55325,13,8/6/2020
55327,41,8/6/2020
55328,54,8/6/2020
55329,13,8/6/2020
55330,235,8/6/2020
55331,220,8/6/2020
55332,<=5,8/6/2020
55333,<=5,8/6/2020
55334,32,8/6/2020
55335,<=5,8/6/2020
55336,47,8/6/2020
55337,646,8/6/2020
55338,8,8/6/2020
55339,<=5,8/6/2020
55340,38,8/6/2020
55341,18,8/6/2020
55342,11,8/6/2020
55343,426,8/6/2020
55344,196,8/6/2020
55345,154,8/6/2020
55346,132,8/6/2020
55347,190,8/6/2020
55349,19,8/6/2020
55350,58,8/6/2020
55352,83,8/6/2020
55353,9,8/6/2020
55354,13,8/6/2020
55355,41,8/6/2020
55356,31,8/6/2020
55357,27,8/6/2020
55358,24,8/6/2020
55359,25,8/6/2020
55360,29,8/6/2020
55362,127,8/6/2020
55363,47,8/6/2020
55364,90,8/6/2020
55366,0,8/6/2020
55367,<=5,8/6/2020
55368,14,8/6/2020
55369,408,8/6/2020
55370,<=5,8/6/2020
55371,57,8/6/2020
55372,261,8/6/2020
55373,28,8/6/2020
55374,131,8/6/2020
55375,25,8/6/2020
55376,144,8/6/2020
55378,291,8/6/2020
55379,632,8/6/2020
55381,6,8/6/2020
55382,13,8/6/2020
55384,44,8/6/2020
55385,<=5,8/6/2020
55386,56,8/6/2020
55387,111,8/6/2020
55388,35,8/6/2020
55389,7,8/6/2020
55390,22,8/6/2020
55391,172,8/6/2020
55395,15,8/6/2020
55396,<=5,8/6/2020
55397,10,8/6/2020
55398,84,8/6/2020
55401,122,8/6/2020
55402,8,8/6/2020
55403,205,8/6/2020
55404,996,8/6/2020
55405,265,8/6/2020
55406,419,8/6/2020
55407,1073,8/6/2020
55408,788,8/6/2020
55409,186,8/6/2020
55410,114,8/6/2020
55411,769,8/6/2020
55412,378,8/6/2020
55413,218,8/6/2020
55414,373,8/6/2020
55415,77,8/6/2020
55416,412,8/6/2020
55417,199,8/6/2020
55418,415,8/6/2020
55419,257,8/6/2020
55420,437,8/6/2020
55421,667,8/6/2020
55422,420,8/6/2020
55423,670,8/6/2020
55424,101,8/6/2020
55425,213,8/6/2020
55426,369,8/6/2020
55427,325,8/6/2020
55428,972,8/6/2020
55429,677,8/6/2020
55430,616,8/6/2020
55431,189,8/6/2020
55432,546,8/6/2020
55433,406,8/6/2020
55434,304,8/6/2020
55435,163,8/6/2020
55436,172,8/6/2020
55437,222,8/6/2020
55438,143,8/6/2020
55439,70,8/6/2020
55441,184,8/6/2020
55442,84,8/6/2020
55443,789,8/6/2020
55444,321,8/6/2020
55445,235,8/6/2020
55446,201,8/6/2020
55447,167,8/6/2020
55448,325,8/6/2020
55449,262,8/6/2020
55450,<=5,8/6/2020
55454,313,8/6/2020
55455,6,8/6/2020
55601,0,8/6/2020
55602,0,8/6/2020
55603,<=5,8/6/2020
55604,<=5,8/6/2020
55605,0,8/6/2020
55606,0,8/6/2020
55607,<=5,8/6/2020
55609,<=5,8/6/2020
55612,0,8/6/2020
55613,0,8/6/2020
55614,11,8/6/2020
55615,<=5,8/6/2020
55616,6,8/6/2020
55702,<=5,8/6/2020
55703,0,8/6/2020
55704,<=5,8/6/2020
55705,<=5,8/6/2020
55706,<=5,8/6/2020
55707,13,8/6/2020
55708,0,8/6/2020
55709,22,8/6/2020
55710,<=5,8/6/2020
55711,<=5,8/6/2020
55712,<=5,8/6/2020
55713,0,8/6/2020
55716,<=5,8/6/2020
55717,0,8/6/2020
55718,<=5,8/6/2020
55719,<=5,8/6/2020
55720,36,8/6/2020
55721,7,8/6/2020
55722,<=5,8/6/2020
55723,0,8/6/2020
55724,<=5,8/6/2020
55725,0,8/6/2020
55726,<=5,8/6/2020
55731,<=5,8/6/2020
55732,<=5,8/6/2020
55733,10,8/6/2020
55734,<=5,8/6/2020
55735,<=5,8/6/2020
55736,<=5,8/6/2020
55738,0,8/6/2020
55741,6,8/6/2020
55742,<=5,8/6/2020
55744,58,8/6/2020
55746,22,8/6/2020
55748,<=5,8/6/2020
55749,<=5,8/6/2020
55750,<=5,8/6/2020
55751,0,8/6/2020
55752,<=5,8/6/2020
55753,<=5,8/6/2020
55756,0,8/6/2020
55757,<=5,8/6/2020
55758,0,8/6/2020
55760,<=5,8/6/2020
55763,0,8/6/2020
55764,0,8/6/2020
55765,24,8/6/2020
55766,0,8/6/2020
55767,52,8/6/2020
