county,8_8_2020,8_15_2020,8_22_2020,8_29_2020,9_5_2020,9_12_2020,9_19_2020,9_26_2020,10_3_2020,10_10_2020,10_17_2020
Swift,5.31,7.44,5.31,7.44,15.94,35.07,52.07,52.07,36.13,34,37.19
Todd,6.55,4.5,6.14,6.14,5.32,7.36,10.23,17.18,25.37,43.78,78.56
Traverse,3,23.97,29.97,8.99,11.99,20.98,11.99,26.97,29.97,23.97,41.95
Wabasha,9.77,10.23,9.3,9.3,9.77,13.95,21.86,23.72,26.98,35.81,39.07
Wadena,2.93,2.93,11.73,13.92,8.79,8.06,8.79,11.73,18.32,51.3,80.61
Waseca,16.48,22.33,38.81,57.95,74.96,85.07,92.51,164.28,159.5,69.65,36.68
Washington,19.54,20.73,22.78,22.11,17.09,12.44,14.37,20.84,23.84,32.65,43.98
Watonwan,25.52,26.43,18.23,44.66,43.74,32.81,47.39,46.48,33.72,16.4,20.05
Wilkin,11.04,9.46,17.34,17.34,9.46,7.88,12.61,26.8,40.99,55.18,66.21
Winona,5.9,5.9,9.24,52.12,77.49,44.64,29.5,29.5,32.25,34.42,36.58
Wright,11.83,13.26,16.42,20.26,19.89,12.96,11.98,19.74,23.96,30.58,32.77
Yellow Medicine,6.08,7.09,15.2,38.51,55.74,39.52,46.62,67.9,55.74,53.71,46.62
